,vacancy_name,vacancy_salary,min_salary,max_salary,currency_salary,vacancy_link,vacancy_source
0,Java-разработчик (удаленно/Сербия),до 450 000 руб.,,450000.0,руб.,https://hh.ru/vacancy/77463926?from=vacancy_search_list&query=Java,hh.ru
1,Разработчик Java/Jakarta (удаленно),,,,,https://hh.ru/vacancy/77235716?from=vacancy_search_list&query=Java,hh.ru
2,Senior Java Backend,до 450 000 руб.,,450000.0,руб.,https://hh.ru/vacancy/77617915?from=vacancy_search_list&query=Java,hh.ru
3,Java-разработчик,,,,,https://hh.ru/vacancy/77524857?from=vacancy_search_list&query=Java,hh.ru
4,Java Backend Разработчик (Middle),,,,,https://hh.ru/vacancy/71215385?from=vacancy_search_list&query=Java,hh.ru
5,Java developer,,,,,https://hh.ru/vacancy/76928259?from=vacancy_search_list&query=Java,hh.ru
6,Реверс-инженер мобильных приложений в Дзен-мани,от 180 000 руб.,180000.0,,руб.,https://hh.ru/vacancy/77330080?from=vacancy_search_list&query=Java,hh.ru
7,Разработчик Java,,,,,https://hh.ru/vacancy/76783042?from=vacancy_search_list&query=Java,hh.ru
8,Product developer lead Java (Remote),от 4 000 USD,4000.0,,USD,https://hh.ru/vacancy/77244977?from=vacancy_search_list&query=Java,hh.ru
9,Lead java developer,,,,,https://hh.ru/vacancy/76928495?from=vacancy_search_list&query=Java,hh.ru
10,Главный Java разработчик,,,,,https://hh.ru/vacancy/77089872?from=vacancy_search_list&query=Java,hh.ru
11,Java-разработчик (Middle+/Senior),,,,,https://hh.ru/vacancy/76765702?from=vacancy_search_list&query=Java,hh.ru
12,Инженер-программист в группу техподдержки продукта Naumen Service Desk,,,,,https://hh.ru/vacancy/77145210?from=vacancy_search_list&query=Java,hh.ru
13,Java Developer Trainee,,,,,https://hh.ru/vacancy/75529245?from=vacancy_search_list&query=Java,hh.ru
14,Java разработчик в Tinkoff Black,,,,,https://hh.ru/vacancy/77237982?from=vacancy_search_list&query=Java,hh.ru
15,Java Developer,,,,,https://hh.ru/vacancy/77140378?from=vacancy_search_list&query=Java,hh.ru
